County Aged Blind Disabled Children Parents Other NonTraditional Adult_Group Total_Enrollment Pre_Katrina_Enrollment Net_Change_in_Enrollment_Post_Katrina Change_in_Enrollment_Post_Katrina FP Buy_In  Children Parents
Acadia 1,009 26 2,350 10,865 1,560 1,950 0 6,845 24,605 15,764 8,841 56.08% 0.00% 7.93% 44.16% 6.34%
Allen 383 9 682 3,754 619 720 1 2,109 8,277 6,070 2,207 36.36% 0.01% 8.70% 45.35% 7.48%
Ascension 681 11 2,066 13,817 2,101 1,676 1 7,089 27,442 13,681 13,761 100.58% 0.00% 6.11% 50.35% 7.66%
Assumption 304 9 842 2,738 488 698 0 1,955 7,034 5,444 1,590 29.21% 0.00% 9.92% 38.93% 6.94%
Avoyelles 1,090 22 2,215 7,196 1,095 1,699 0 4,637 17,954 12,675 5,279 41.65% 0.00% 9.46% 40.08% 6.10%
Beauregard 324 10 1,049 5,579 903 907 0 3,192 11,964 6,451 5,513 85.46% 0.00% 7.58% 46.63% 7.55%
Bienville 346 14 712 2,384 382 516 0 1,682 6,036 4,001 2,035 50.86% 0.00% 8.55% 39.50% 6.33%
Bossier 1,013 29 3,466 15,182 2,095 1,961 0 8,646 32,392 16,230 16,162 99.58% 0.00% 6.05% 46.87% 6.47%
Caddo 3,770 120 13,085 39,750 5,546 6,696 2 25,709 94,678 57,777 36,901 63.87% 0.00% 7.07% 41.98% 5.86%
Calcasieu 1,837 57 6,294 30,860 4,622 4,398 2 18,494 66,564 37,211 29,353 78.88% 0.00% 6.61% 46.36% 6.94%
Caldwell 202 2 476 1,825 342 359 0 1,319 4,525 2,637 1,888 71.60% 0.00% 7.93% 40.33% 7.56%
Cameron 26 0 58 406 79 75 0 289 933 1,313 -380 -28.94% 0.00% 8.04% 43.52% 8.47%
Catahoula 183 11 476 1,675 296 416 0 1,276 4,333 2,888 1,445 50.03% 0.00% 9.60% 38.66% 6.83%
Claiborne 329 7 726 2,091 301 473 0 1,568 5,495 4,129 1,366 33.08% 0.00% 8.61% 38.05% 5.48%
Concordia 365 10 1,097 3,810 648 668 0 2,429 9,027 5,764 3,263 56.61% 0.00% 7.40% 42.21% 7.18%
DeSoto 432 19 1,100 4,213 608 777 0 2,730 9,879 5,740 4,139 72.11% 0.00% 7.87% 42.65% 6.15%
EastFeliciana 359 5 923 2,742 426 550 0 2,032 7,037 4,251 2,786 65.54% 0.00% 7.82% 38.97% 6.05%
East_Carroll 230 6 494 1,679 204 293 0 1,190 4,096 3,574 522 14.61% 0.00% 7.15% 40.99% 4.98%
East_Baton_Rouge 4,617 143 14,026 62,031 9,143 9,312 2 38,790 138,064 80,711 57,353 71.06% 0.00% 6.74% 44.93% 6.62%
Evangeline 816 15 1,832 6,013 941 1,256 0 3,796 14,669 11,404 3,265 28.63% 0.00% 8.56% 40.99% 6.41%
Franklin 562 13 1,076 4,070 574 740 3 3,021 10,059 6,668 3,391 50.85% 0.03% 7.36% 40.46% 5.71%
Grant 262 11 728 3,230 568 574 0 1,899 7,272 4,614 2,658 57.61% 0.00% 7.89% 44.42% 7.81%
Iberia 968 30 3,169 13,580 2,180 2,048 0 8,865 30,840 18,990 11,850 62.40% 0.00% 6.64% 44.03% 7.07%
Iberville 502 10 1,272 5,341 873 978 0 3,403 12,379 8,343 4,036 48.38% 0.00% 7.90% 43.15% 7.05%
Jackson 295 7 614 2,441 366 424 0 1,757 5,904 3,380 2,524 74.67% 0.00% 7.18% 41.34% 6.20%
Jeff_Davis 406 11 1,006 5,039 782 935 0 3,073 11,252 7,373 3,879 52.61% 0.00% 8.31% 44.78% 6.95%
Jefferson 2,535 42 8,498 37,860 5,614 6,035 1 27,541 88,126 51,748 36,378 70.30% 0.00% 6.85% 42.96% 6.37%
Jefferson_east 2,051 30 4,081 26,588 3,620 4,945 1 19,279 60,595 31,353 29,242 93.27% 0.00% 8.16% 43.88% 5.97%
Lafayette 2,075 72 5,938 30,864 4,570 4,285 0 20,578 68,382 33,745 34,637 102.64% 0.00% 6.27% 45.13% 6.68%
Lafourche 899 23 3,118 12,064 2,133 2,277 2 8,414 28,930 18,371 10,559 57.48% 0.01% 7.87% 41.70% 7.37%
